doy,year,hour,Temp,sensorZ,sensorLoc,site
183,2016,13,16.1,700,overstory,ld
183,2016,13.5,11.7,700,overstory,ld
183,2016,14,11.3,700,overstory,ld
183,2016,14.5,11.1,700,overstory,ld
183,2016,15,11.6,700,overstory,ld
183,2016,15.5,11.2,700,overstory,ld
183,2016,16,10.3,700,overstory,ld
183,2016,16.5,9.5,700,overstory,ld
183,2016,17,9.2,700,overstory,ld
183,2016,17.5,9,700,overstory,ld
183,2016,18,9,700,overstory,ld
183,2016,18.5,8.9,700,overstory,ld
183,2016,19,8.7,700,overstory,ld
183,2016,19.5,8.8,700,overstory,ld
183,2016,20,9.2,700,overstory,ld
183,2016,20.5,9.2,700,overstory,ld
183,2016,21,9.3,700,overstory,ld
183,2016,21.5,9.6,700,overstory,ld
183,2016,22,9.5,700,overstory,ld
183,2016,22.5,8.5,700,overstory,ld
183,2016,23,8,700,overstory,ld
183,2016,23.5,7.2,700,overstory,ld
184,2016,0,8,700,overstory,ld
184,2016,0.5,8.7,700,overstory,ld
184,2016,1,8.8,700,overstory,ld
184,2016,1.5,8.1,700,overstory,ld
184,2016,2,7.1,700,overstory,ld
184,2016,2.5,7,700,overstory,ld
184,2016,3,7.3,700,overstory,ld
184,2016,3.5,7.5,700,overstory,ld
184,2016,4,7.6,700,overstory,ld
184,2016,4.5,8.6,700,overstory,ld
184,2016,5,9.4,700,overstory,ld
184,2016,5.5,9.6,700,overstory,ld
184,2016,6,10,700,overstory,ld
184,2016,6.5,10.3,700,overstory,ld
184,2016,7,11,700,overstory,ld
184,2016,7.5,11.9,700,overstory,ld
184,2016,8,12.6,700,overstory,ld
184,2016,8.5,13.6,700,overstory,ld
184,2016,9,14.5,700,overstory,ld
184,2016,9.5,15.1,700,overstory,ld
184,2016,10,15.5,700,overstory,ld
184,2016,10.5,15.5,700,overstory,ld
184,2016,11,14.9,700,overstory,ld
184,2016,11.5,15.4,700,overstory,ld
184,2016,12,15.3,700,overstory,ld
184,2016,12.5,14.5,700,overstory,ld
184,2016,13,13.4,700,overstory,ld
184,2016,13.5,13.2,700,overstory,ld
184,2016,14,13.3,700,overstory,ld
184,2016,14.5,12.6,700,overstory,ld
184,2016,15,12.2,700,overstory,ld
184,2016,15.5,12,700,overstory,ld
