doy,year,hour,Temp,sensorZ,sensorLoc,site
181,2016,18.5,14.8,700,overstory,hd
181,2016,19,14.3,700,overstory,hd
181,2016,19.5,13.4,700,overstory,hd
181,2016,20,12.3,700,overstory,hd
181,2016,20.5,11.6,700,overstory,hd
181,2016,21,11.3,700,overstory,hd
181,2016,21.5,10.4,700,overstory,hd
181,2016,22,9.2,700,overstory,hd
181,2016,22.5,9.1,700,overstory,hd
181,2016,23,8.4,700,overstory,hd
181,2016,23.5,8.2,700,overstory,hd
182,2016,0,7.6,700,overstory,hd
182,2016,0.5,7.1,700,overstory,hd
182,2016,1,6.7,700,overstory,hd
182,2016,1.5,6.5,700,overstory,hd
182,2016,2,6.3,700,overstory,hd
182,2016,2.5,6.2,700,overstory,hd
182,2016,3,6.1,700,overstory,hd
182,2016,3.5,6,700,overstory,hd
182,2016,4,6.2,700,overstory,hd
182,2016,4.5,6.1,700,overstory,hd
182,2016,5,6.2,700,overstory,hd
182,2016,5.5,6.3,700,overstory,hd
182,2016,6,6.3,700,overstory,hd
182,2016,6.5,6,700,overstory,hd
182,2016,7,6,700,overstory,hd
182,2016,7.5,5.9,700,overstory,hd
182,2016,8,6.3,700,overstory,hd
182,2016,8.5,6.3,700,overstory,hd
182,2016,9,6.8,700,overstory,hd
182,2016,9.5,6.6,700,overstory,hd
182,2016,10,7.2,700,overstory,hd
182,2016,10.5,7.6,700,overstory,hd
182,2016,11,8.2,700,overstory,hd
182,2016,11.5,9.1,700,overstory,hd
182,2016,12,9.8,700,overstory,hd
182,2016,12.5,11.2,700,overstory,hd
182,2016,13,11.6,700,overstory,hd
182,2016,13.5,12.8,700,overstory,hd
182,2016,14,12.6,700,overstory,hd
182,2016,14.5,13,700,overstory,hd
182,2016,15,13.6,700,overstory,hd
182,2016,15.5,14.2,700,overstory,hd
182,2016,16,14.4,700,overstory,hd
182,2016,16.5,13.7,700,overstory,hd
182,2016,17,13.6,700,overstory,hd
182,2016,17.5,14.4,700,overstory,hd
182,2016,18,15.2,700,overstory,hd
182,2016,18.5,15.8,700,overstory,hd
182,2016,19,15.8,700,overstory,hd
182,2016,19.5,15.6,700,overstory,hd
182,2016,20,15.7,700,overstory,hd
182,2016,20.5,14.8,700,overstory,hd
182,2016,21,14.5,700,overstory,hd
182,2016,21.5,14.1,700,overstory,hd
182,2016,22,13.5,700,overstory,hd
182,2016,22.5,12.5,700,overstory,hd
182,2016,23,11.8,700,overstory,hd
182,2016,23.5,11.1,700,overstory,hd
183,2016,0,10.5,700,overstory,hd
183,2016,0.5,10.1,700,overstory,hd
183,2016,1,10.1,700,overstory,hd
183,2016,1.5,10.1,700,overstory,hd
183,2016,2,10.1,700,overstory,hd
183,2016,2.5,10.2,700,overstory,hd
183,2016,3,10.6,700,overstory,hd
183,2016,3.5,11,700,overstory,hd
183,2016,4,11.3,700,overstory,hd
183,2016,4.5,11.6,700,overstory,hd
183,2016,5,11.8,700,overstory,hd
183,2016,5.5,12.5,700,overstory,hd
183,2016,6,13.4,700,overstory,hd
183,2016,6.5,13.8,700,overstory,hd
183,2016,7,14.4,700,overstory,hd
183,2016,7.5,15.2,700,overstory,hd
183,2016,8,16.2,700,overstory,hd
183,2016,8.5,17.4,700,overstory,hd
183,2016,9,18.4,700,overstory,hd
183,2016,9.5,19.3,700,overstory,hd
183,2016,10,20.3,700,overstory,hd
183,2016,10.5,21.3,700,overstory,hd
183,2016,11,20.9,700,overstory,hd
183,2016,11.5,21.3,700,overstory,hd
183,2016,12,22,700,overstory,hd
183,2016,12.5,18,700,overstory,hd
183,2016,13,13.8,700,overstory,hd
183,2016,13.5,11.6,700,overstory,hd
183,2016,14,11.8,700,overstory,hd
183,2016,14.5,11.5,700,overstory,hd
183,2016,15,12,700,overstory,hd
183,2016,15.5,11.5,700,overstory,hd
183,2016,16,10.6,700,overstory,hd
183,2016,16.5,9.7,700,overstory,hd
183,2016,17,9.3,700,overstory,hd
183,2016,17.5,9.3,700,overstory,hd
183,2016,18,9.4,700,overstory,hd
183,2016,18.5,9.3,700,overstory,hd
183,2016,19,9,700,overstory,hd
183,2016,19.5,9.3,700,overstory,hd
183,2016,20,9.6,700,overstory,hd
183,2016,20.5,9.5,700,overstory,hd
183,2016,21,10.1,700,overstory,hd
183,2016,21.5,10.6,700,overstory,hd
183,2016,22,9.4,700,overstory,hd
183,2016,22.5,8.6,700,overstory,hd
183,2016,23,8.1,700,overstory,hd
183,2016,23.5,7.2,700,overstory,hd
184,2016,0,7.4,700,overstory,hd
184,2016,0.5,7.5,700,overstory,hd
184,2016,1,7.3,700,overstory,hd
184,2016,1.5,6.5,700,overstory,hd
184,2016,2,6.3,700,overstory,hd
184,2016,2.5,6.7,700,overstory,hd
184,2016,3,7.6,700,overstory,hd
184,2016,3.5,8.2,700,overstory,hd
184,2016,4,8.5,700,overstory,hd
184,2016,4.5,9.4,700,overstory,hd
184,2016,5,9.8,700,overstory,hd
184,2016,5.5,10.3,700,overstory,hd
184,2016,6,11,700,overstory,hd
184,2016,6.5,11.3,700,overstory,hd
184,2016,7,12,700,overstory,hd
184,2016,7.5,13.1,700,overstory,hd
184,2016,8,13.8,700,overstory,hd
184,2016,8.5,14.9,700,overstory,hd
184,2016,9,15.6,700,overstory,hd
184,2016,9.5,16.1,700,overstory,hd
184,2016,10,16.3,700,overstory,hd
184,2016,10.5,16,700,overstory,hd
184,2016,11,15.5,700,overstory,hd
184,2016,11.5,16.6,700,overstory,hd
184,2016,12,16.2,700,overstory,hd
184,2016,12.5,14.9,700,overstory,hd
184,2016,13,14.2,700,overstory,hd
184,2016,13.5,14.2,700,overstory,hd
184,2016,14,13.9,700,overstory,hd
184,2016,14.5,13.3,700,overstory,hd
184,2016,15,13.3,700,overstory,hd
184,2016,15.5,13.3,700,overstory,hd
184,2016,16,13.3,700,overstory,hd
184,2016,16.5,13,700,overstory,hd
184,2016,17,12.7,700,overstory,hd
184,2016,17.5,11.6,700,overstory,hd
184,2016,18,11.1,700,overstory,hd
184,2016,18.5,10.8,700,overstory,hd
184,2016,19,9.5,700,overstory,hd
184,2016,19.5,9.7,700,overstory,hd
184,2016,20,10.3,700,overstory,hd
184,2016,20.5,9.5,700,overstory,hd
184,2016,21,8.9,700,overstory,hd
184,2016,21.5,8.4,700,overstory,hd
184,2016,22,8.2,700,overstory,hd
184,2016,22.5,7.9,700,overstory,hd
184,2016,23,6.8,700,overstory,hd
184,2016,23.5,6.1,700,overstory,hd
185,2016,0,5.3,700,overstory,hd
185,2016,0.5,5.2,700,overstory,hd
185,2016,1,4.9,700,overstory,hd
185,2016,1.5,4.9,700,overstory,hd
185,2016,2,4.6,700,overstory,hd
185,2016,2.5,4.5,700,overstory,hd
185,2016,3,4.6,700,overstory,hd
185,2016,3.5,4.4,700,overstory,hd
185,2016,4,4.1,700,overstory,hd
185,2016,4.5,3.5,700,overstory,hd
185,2016,5,3.6,700,overstory,hd
185,2016,5.5,3.7,700,overstory,hd
185,2016,6,3.5,700,overstory,hd
185,2016,6.5,3.3,700,overstory,hd
185,2016,7,3.3,700,overstory,hd
185,2016,7.5,3.6,700,overstory,hd
185,2016,8,5.2,700,overstory,hd
185,2016,8.5,5.1,700,overstory,hd
185,2016,9,6.2,700,overstory,hd
185,2016,9.5,6.6,700,overstory,hd
185,2016,10,6.4,700,overstory,hd
185,2016,10.5,7.2,700,overstory,hd
185,2016,11,8.1,700,overstory,hd
185,2016,11.5,8.1,700,overstory,hd
185,2016,12,8.2,700,overstory,hd
185,2016,12.5,8.8,700,overstory,hd
185,2016,13,9.1,700,overstory,hd
185,2016,13.5,9.2,700,overstory,hd
185,2016,14,9.3,700,overstory,hd
185,2016,14.5,9.4,700,overstory,hd
185,2016,15,9.8,700,overstory,hd
185,2016,15.5,9.4,700,overstory,hd
185,2016,16,9.3,700,overstory,hd
185,2016,16.5,8.5,700,overstory,hd
185,2016,17,8.4,700,overstory,hd
185,2016,17.5,7.7,700,overstory,hd
185,2016,18,7.8,700,overstory,hd
185,2016,18.5,6.6,700,overstory,hd
185,2016,19,5.8,700,overstory,hd
185,2016,19.5,5.5,700,overstory,hd
185,2016,20,5,700,overstory,hd
185,2016,20.5,5.1,700,overstory,hd
185,2016,21,4.3,700,overstory,hd
185,2016,21.5,3.4,700,overstory,hd
185,2016,22,2.8,700,overstory,hd
185,2016,22.5,2.4,700,overstory,hd
185,2016,23,1.9,700,overstory,hd
185,2016,23.5,1.4,700,overstory,hd
186,2016,0,1,700,overstory,hd
186,2016,0.5,0.8,700,overstory,hd
186,2016,1,1,700,overstory,hd
186,2016,1.5,1.1,700,overstory,hd
186,2016,2,1.1,700,overstory,hd
186,2016,2.5,1,700,overstory,hd
186,2016,3,1,700,overstory,hd
186,2016,3.5,1.4,700,overstory,hd
186,2016,4,1.5,700,overstory,hd
186,2016,4.5,2.3,700,overstory,hd
186,2016,5,4,700,overstory,hd
186,2016,5.5,4.4,700,overstory,hd
186,2016,6,5.8,700,overstory,hd
186,2016,6.5,5.8,700,overstory,hd
186,2016,7,6.3,700,overstory,hd
186,2016,7.5,7.3,700,overstory,hd
186,2016,8,8.4,700,overstory,hd
186,2016,8.5,9.6,700,overstory,hd
186,2016,9,10.1,700,overstory,hd
186,2016,9.5,10.4,700,overstory,hd
186,2016,10,11,700,overstory,hd
186,2016,10.5,11.4,700,overstory,hd
186,2016,11,12,700,overstory,hd
186,2016,11.5,12.7,700,overstory,hd
186,2016,12,12.9,700,overstory,hd
186,2016,12.5,13.1,700,overstory,hd
186,2016,13,13.2,700,overstory,hd
186,2016,13.5,13.2,700,overstory,hd
186,2016,14,12.9,700,overstory,hd
186,2016,14.5,12.6,700,overstory,hd
186,2016,15,12,700,overstory,hd
186,2016,15.5,11.8,700,overstory,hd
186,2016,16,11.2,700,overstory,hd
186,2016,16.5,11.8,700,overstory,hd
186,2016,17,13.1,700,overstory,hd
186,2016,17.5,13.2,700,overstory,hd
