doy,year,hour,shf,site,loc,sensorZ
181,2016,17.5,12.88508,hd,moss,5
181,2016,18,12.74071,hd,moss,5
181,2016,18.5,12.40743,hd,moss,5
181,2016,19,11.86388,hd,moss,5
181,2016,19.5,11.12526,hd,moss,5
181,2016,20,10.17934,hd,moss,5
181,2016,20.5,9.296535,hd,moss,5
181,2016,21,8.380904,hd,moss,5
181,2016,21.5,7.445339,hd,moss,5
181,2016,22,6.424584,hd,moss,5
181,2016,22.5,5.597552,hd,moss,5
181,2016,23,5.179889,hd,moss,5
181,2016,23.5,4.942045,hd,moss,5
182,2016,0,4.77846,hd,moss,5
182,2016,0.5,4.708405,hd,moss,5
182,2016,1,4.610691,hd,moss,5
182,2016,1.5,4.492893,hd,moss,5
182,2016,2,4.399706,hd,moss,5
182,2016,2.5,4.326013,hd,moss,5
182,2016,3,4.323111,hd,moss,5
182,2016,3.5,4.366494,hd,moss,5
182,2016,4,4.46294,hd,moss,5
182,2016,4.5,4.609448,hd,moss,5
182,2016,5,4.779304,hd,moss,5
182,2016,5.5,5.032858,hd,moss,5
182,2016,6,5.305593,hd,moss,5
182,2016,6.5,5.481248,hd,moss,5
182,2016,7,5.558227,hd,moss,5
182,2016,7.5,5.617231,hd,moss,5
182,2016,8,5.948871,hd,moss,5
182,2016,8.5,6.437916,hd,moss,5
182,2016,9,6.904009,hd,moss,5
182,2016,9.5,7.324208,hd,moss,5
182,2016,10,7.715509,hd,moss,5
182,2016,10.5,8.360861,hd,moss,5
182,2016,11,9.154783,hd,moss,5
182,2016,11.5,10.05222,hd,moss,5
182,2016,12,11.1596,hd,moss,5
182,2016,12.5,12.87468,hd,moss,5
182,2016,13,13.49966,hd,moss,5
182,2016,13.5,14.06765,hd,moss,5
182,2016,14,15.68617,hd,moss,5
182,2016,14.5,15.04764,hd,moss,5
182,2016,15,13.74341,hd,moss,5
182,2016,15.5,12.37126,hd,moss,5
182,2016,16,11.76236,hd,moss,5
182,2016,16.5,11.98949,hd,moss,5
182,2016,17,12.34529,hd,moss,5
182,2016,17.5,12.82495,hd,moss,5
182,2016,18,12.90118,hd,moss,5
182,2016,18.5,12.4849,hd,moss,5
182,2016,19,11.95725,hd,moss,5
182,2016,19.5,11.41907,hd,moss,5
182,2016,20,10.90014,hd,moss,5
182,2016,20.5,10.85711,hd,moss,5
182,2016,21,10.2789,hd,moss,5
182,2016,21.5,9.481193,hd,moss,5
182,2016,22,8.768574,hd,moss,5
182,2016,22.5,8.130704,hd,moss,5
182,2016,23,7.586399,hd,moss,5
182,2016,23.5,7.089411,hd,moss,5
183,2016,0,6.656255,hd,moss,5
183,2016,0.5,6.311221,hd,moss,5
183,2016,1,6.066528,hd,moss,5
183,2016,1.5,5.958715,hd,moss,5
183,2016,2,5.937676,hd,moss,5
183,2016,2.5,5.937279,hd,moss,5
183,2016,3,5.946269,hd,moss,5
183,2016,3.5,5.982614,hd,moss,5
183,2016,4,6.080539,hd,moss,5
183,2016,4.5,6.259734,hd,moss,5
183,2016,5,6.503442,hd,moss,5
183,2016,5.5,6.801182,hd,moss,5
183,2016,6,7.213489,hd,moss,5
183,2016,6.5,7.790114,hd,moss,5
183,2016,7,8.524873,hd,moss,5
183,2016,7.5,9.237405,hd,moss,5
183,2016,8,9.89072,hd,moss,5
183,2016,8.5,10.63082,hd,moss,5
183,2016,9,11.71089,hd,moss,5
183,2016,9.5,13.16609,hd,moss,5
183,2016,10,14.74724,hd,moss,5
183,2016,10.5,16.5398,hd,moss,5
183,2016,11,17.98643,hd,moss,5
183,2016,11.5,18.12673,hd,moss,5
183,2016,12,18.75052,hd,moss,5
183,2016,12.5,18.56229,hd,moss,5
183,2016,13,16.19592,hd,moss,5
183,2016,13.5,13.85749,hd,moss,5
183,2016,14,12.70276,hd,moss,5
183,2016,14.5,12.06726,hd,moss,5
183,2016,15,11.69636,hd,moss,5
183,2016,15.5,11.68931,hd,moss,5
183,2016,16,11.12078,hd,moss,5
183,2016,16.5,10.20448,hd,moss,5
183,2016,17,9.492897,hd,moss,5
183,2016,17.5,9.017372,hd,moss,5
183,2016,18,8.53361,hd,moss,5
183,2016,18.5,8.113954,hd,moss,5
183,2016,19,7.739788,hd,moss,5
183,2016,19.5,7.628064,hd,moss,5
183,2016,20,7.911784,hd,moss,5
183,2016,20.5,8.075891,hd,moss,5
183,2016,21,8.022171,hd,moss,5
183,2016,21.5,8.081505,hd,moss,5
183,2016,22,7.821579,hd,moss,5
183,2016,22.5,7.07092,hd,moss,5
183,2016,23,6.266043,hd,moss,5
183,2016,23.5,5.434389,hd,moss,5
184,2016,0,4.73464,hd,moss,5
184,2016,0.5,4.290223,hd,moss,5
184,2016,1,3.769051,hd,moss,5
184,2016,1.5,3.072512,hd,moss,5
184,2016,2,2.402241,hd,moss,5
184,2016,2.5,2.059171,hd,moss,5
184,2016,3,2.186919,hd,moss,5
184,2016,3.5,2.706457,hd,moss,5
184,2016,4,3.31644,hd,moss,5
184,2016,4.5,3.807698,hd,moss,5
184,2016,5,4.395823,hd,moss,5
184,2016,5.5,5.07529,hd,moss,5
184,2016,6,5.625842,hd,moss,5
184,2016,6.5,6.173038,hd,moss,5
184,2016,7,6.855099,hd,moss,5
184,2016,7.5,7.604633,hd,moss,5
184,2016,8,8.277451,hd,moss,5
184,2016,8.5,9.02653,hd,moss,5
184,2016,9,10.04885,hd,moss,5
184,2016,9.5,11.1719,hd,moss,5
184,2016,10,12.58138,hd,moss,5
184,2016,10.5,13.41946,hd,moss,5
184,2016,11,13.41685,hd,moss,5
184,2016,11.5,13.81014,hd,moss,5
184,2016,12,15.74745,hd,moss,5
184,2016,12.5,18.76625,hd,moss,5
184,2016,13,17.88853,hd,moss,5
184,2016,13.5,16.43262,hd,moss,5
184,2016,14,16.60658,hd,moss,5
184,2016,14.5,15.19798,hd,moss,5
184,2016,15,13.52211,hd,moss,5
184,2016,15.5,11.93942,hd,moss,5
184,2016,16,11.12716,hd,moss,5
184,2016,16.5,11.30622,hd,moss,5
184,2016,17,10.9327,hd,moss,5
184,2016,17.5,10.5202,hd,moss,5
184,2016,18,10.13175,hd,moss,5
184,2016,18.5,9.516451,hd,moss,5
184,2016,19,8.647143,hd,moss,5
184,2016,19.5,7.877897,hd,moss,5
184,2016,20,7.409094,hd,moss,5
184,2016,20.5,7.17417,hd,moss,5
184,2016,21,6.640582,hd,moss,5
184,2016,21.5,6.0469,hd,moss,5
184,2016,22,5.666361,hd,moss,5
184,2016,22.5,5.398368,hd,moss,5
184,2016,23,5.147232,hd,moss,5
184,2016,23.5,4.810118,hd,moss,5
185,2016,0,4.150968,hd,moss,5
185,2016,0.5,3.467079,hd,moss,5
185,2016,1,3.157665,hd,moss,5
185,2016,1.5,3.020912,hd,moss,5
185,2016,2,2.79266,hd,moss,5
185,2016,2.5,2.66319,hd,moss,5
185,2016,3,2.67234,hd,moss,5
