doy,year,hour,shf,site,loc,sensorZ
182,2016,18.5,0.5966864,ld,moss,5
182,2016,19,-3.651009,ld,moss,5
182,2016,19.5,13.4337,ld,moss,5
182,2016,20,11.40988,ld,moss,5
182,2016,20.5,10.38731,ld,moss,5
182,2016,21,8.930581,ld,moss,5
182,2016,21.5,7.518437,ld,moss,5
182,2016,22,6.221332,ld,moss,5
182,2016,22.5,5.138104,ld,moss,5
182,2016,23,4.279849,ld,moss,5
182,2016,23.5,3.443709,ld,moss,5
183,2016,0,2.730911,ld,moss,5
183,2016,0.5,2.141634,ld,moss,5
183,2016,1,1.827483,ld,moss,5
183,2016,1.5,1.795055,ld,moss,5
183,2016,2,1.938069,ld,moss,5
183,2016,2.5,2.177287,ld,moss,5
183,2016,3,2.376328,ld,moss,5
183,2016,3.5,2.584399,ld,moss,5
183,2016,4,2.889227,ld,moss,5
183,2016,4.5,3.245658,ld,moss,5
183,2016,5,3.815117,ld,moss,5
183,2016,5.5,5.217602,ld,moss,5
183,2016,6,6.253115,ld,moss,5
183,2016,6.5,7.000885,ld,moss,5
183,2016,7,9.227769,ld,moss,5
183,2016,7.5,12.39874,ld,moss,5
183,2016,8,15.24837,ld,moss,5
183,2016,8.5,18.15883,ld,moss,5
183,2016,9,20.94349,ld,moss,5
183,2016,9.5,23.16568,ld,moss,5
183,2016,10,23.78892,ld,moss,5
183,2016,10.5,23.94235,ld,moss,5
183,2016,11,26.29497,ld,moss,5
183,2016,11.5,35.27837,ld,moss,5
183,2016,12,34.02622,ld,moss,5
183,2016,12.5,31.67311,ld,moss,5
183,2016,13,25.82364,ld,moss,5
183,2016,13.5,22.675,ld,moss,5
183,2016,14,22.0677,ld,moss,5
183,2016,14.5,20.99289,ld,moss,5
183,2016,15,21.05124,ld,moss,5
183,2016,15.5,23.64755,ld,moss,5
183,2016,16,20.984,ld,moss,5
183,2016,16.5,18.29841,ld,moss,5
183,2016,17,16.19284,ld,moss,5
183,2016,17.5,15.41194,ld,moss,5
183,2016,18,13.21652,ld,moss,5
183,2016,18.5,11.75599,ld,moss,5
183,2016,19,10.38911,ld,moss,5
183,2016,19.5,9.754663,ld,moss,5
183,2016,20,11.48853,ld,moss,5
183,2016,20.5,12.2882,ld,moss,5
183,2016,21,11.36247,ld,moss,5
183,2016,21.5,11.18463,ld,moss,5
183,2016,22,10.82679,ld,moss,5
183,2016,22.5,8.335409,ld,moss,5
183,2016,23,5.975357,ld,moss,5
183,2016,23.5,2.992441,ld,moss,5
184,2016,0,0.9110792,ld,moss,5
184,2016,0.5,0.9485622,ld,moss,5
184,2016,1,0.3023001,ld,moss,5
184,2016,1.5,-1.495309,ld,moss,5
184,2016,2,-2.789397,ld,moss,5
184,2016,2.5,-3.150325,ld,moss,5
184,2016,3,-3.220934,ld,moss,5
184,2016,3.5,-3.01229,ld,moss,5
184,2016,4,-2.179001,ld,moss,5
184,2016,4.5,-1.101694,ld,moss,5
184,2016,5,0.6340929,ld,moss,5
184,2016,5.5,4.326162,ld,moss,5
184,2016,6,5.997456,ld,moss,5
184,2016,6.5,6.606305,ld,moss,5
184,2016,7,8.648768,ld,moss,5
184,2016,7.5,12.96797,ld,moss,5
184,2016,8,15.92416,ld,moss,5
184,2016,8.5,18.76226,ld,moss,5
184,2016,9,23.46064,ld,moss,5
184,2016,9.5,27.3544,ld,moss,5
184,2016,10,27.36893,ld,moss,5
184,2016,10.5,27.47945,ld,moss,5
184,2016,11,27.1293,ld,moss,5
184,2016,11.5,25.90103,ld,moss,5
184,2016,12,27.69745,ld,moss,5
184,2016,12.5,32.59939,ld,moss,5
184,2016,13,35.26902,ld,moss,5
184,2016,13.5,31.60878,ld,moss,5
184,2016,14,32.77743,ld,moss,5
184,2016,14.5,34.68293,ld,moss,5
184,2016,15,32.09589,ld,moss,5
184,2016,15.5,31.96845,ld,moss,5
184,2016,16,29.51805,ld,moss,5
184,2016,16.5,27.75785,ld,moss,5
184,2016,17,24.7816,ld,moss,5
184,2016,17.5,22.22631,ld,moss,5
184,2016,18,18.81753,ld,moss,5
184,2016,18.5,13.53438,ld,moss,5
184,2016,19,9.812983,ld,moss,5
184,2016,19.5,8.025328,ld,moss,5
184,2016,20,6.550242,ld,moss,5
184,2016,20.5,5.283977,ld,moss,5
184,2016,21,4.264238,ld,moss,5
184,2016,21.5,3.732611,ld,moss,5
184,2016,22,3.737156,ld,moss,5
184,2016,22.5,3.825272,ld,moss,5
184,2016,23,3.676913,ld,moss,5
184,2016,23.5,3.276085,ld,moss,5
185,2016,0,1.557978,ld,moss,5
185,2016,0.5,-1.092911,ld,moss,5
185,2016,1,-1.526221,ld,moss,5
185,2016,1.5,-1.377708,ld,moss,5
185,2016,2,-1.453121,ld,moss,5
185,2016,2.5,-0.3069585,ld,moss,5
185,2016,3,0.3412494,ld,moss,5
185,2016,3.5,0.9584849,ld,moss,5
185,2016,4,1.676565,ld,moss,5
185,2016,4.5,2.306337,ld,moss,5
185,2016,5,3.083781,ld,moss,5
185,2016,5.5,3.630431,ld,moss,5
185,2016,6,4.696763,ld,moss,5
185,2016,6.5,5.874809,ld,moss,5
185,2016,7,7.18026,ld,moss,5
185,2016,7.5,8.613104,ld,moss,5
185,2016,8,10.40711,ld,moss,5
185,2016,8.5,11.70975,ld,moss,5
185,2016,9,14.30065,ld,moss,5
185,2016,9.5,20.60887,ld,moss,5
185,2016,10,21.63393,ld,moss,5
185,2016,10.5,21.87547,ld,moss,5
185,2016,11,20.05812,ld,moss,5
185,2016,11.5,21.30311,ld,moss,5
185,2016,12,23.26654,ld,moss,5
185,2016,12.5,24.87539,ld,moss,5
185,2016,13,27.21809,ld,moss,5
185,2016,13.5,25.69042,ld,moss,5
185,2016,14,25.2304,ld,moss,5
185,2016,14.5,25.55641,ld,moss,5
185,2016,15,23.96258,ld,moss,5
185,2016,15.5,25.30234,ld,moss,5
185,2016,16,25.23086,ld,moss,5
185,2016,16.5,23.49775,ld,moss,5
185,2016,17,20.40812,ld,moss,5
185,2016,17.5,16.67699,ld,moss,5
185,2016,18,12.3528,ld,moss,5
185,2016,18.5,8.556836,ld,moss,5
185,2016,19,6.81772,ld,moss,5
185,2016,19.5,5.680213,ld,moss,5
185,2016,20,3.42366,ld,moss,5
185,2016,20.5,1.790761,ld,moss,5
185,2016,21,-0.4591829,ld,moss,5
185,2016,21.5,-1.827849,ld,moss,5
185,2016,22,-2.211701,ld,moss,5
185,2016,22.5,-1.528695,ld,moss,5
185,2016,23,-1.211994,ld,moss,5
185,2016,23.5,-1.50451,ld,moss,5
186,2016,0,-3.062138,ld,moss,5
186,2016,0.5,-3.592904,ld,moss,5
186,2016,1,-3.631263,ld,moss,5
186,2016,1.5,-3.516,ld,moss,5
186,2016,2,-2.26894,ld,moss,5
186,2016,2.5,-1.051757,ld,moss,5
186,2016,3,0.03024516,ld,moss,5
186,2016,3.5,0.9971682,ld,moss,5
186,2016,4,2.000238,ld,moss,5
186,2016,4.5,2.64221,ld,moss,5
186,2016,5,2.218778,ld,moss,5
186,2016,5.5,2.052241,ld,moss,5
186,2016,6,1.416462,ld,moss,5
186,2016,6.5,0.6399528,ld,moss,5
186,2016,7,3.931031,ld,moss,5
186,2016,7.5,8.064352,ld,moss,5
186,2016,8,9.717056,ld,moss,5
186,2016,8.5,11.92958,ld,moss,5
186,2016,9,15.15691,ld,moss,5
186,2016,9.5,19.07615,ld,moss,5
186,2016,10,19.04325,ld,moss,5
186,2016,10.5,15.55943,ld,moss,5
186,2016,11,12.92351,ld,moss,5
186,2016,11.5,19.02368,ld,moss,5
186,2016,12,25.50033,ld,moss,5
186,2016,12.5,28.0294,ld,moss,5
186,2016,13,27.85636,ld,moss,5
186,2016,13.5,24.23015,ld,moss,5
186,2016,14,25.4252,ld,moss,5
186,2016,14.5,27.47308,ld,moss,5
186,2016,15,26.00092,ld,moss,5
186,2016,15.5,24.14797,ld,moss,5
186,2016,16,22.87704,ld,moss,5
186,2016,16.5,18.19092,ld,moss,5
186,2016,17,17.35183,ld,moss,5
186,2016,17.5,16.3235,ld,moss,5
186,2016,18,12.66937,ld,moss,5
186,2016,18.5,8.706453,ld,moss,5
186,2016,19,6.976852,ld,moss,5
186,2016,19.5,6.132786,ld,moss,5
186,2016,20,5.107612,ld,moss,5
186,2016,20.5,4.512489,ld,moss,5
186,2016,21,3.263567,ld,moss,5
186,2016,21.5,1.701415,ld,moss,5
186,2016,22,0.3327031,ld,moss,5
186,2016,22.5,-1.803111,ld,moss,5
186,2016,23,-3.883327,ld,moss,5
186,2016,23.5,-3.730028,ld,moss,5
187,2016,0,-2.964042,ld,moss,5
187,2016,0.5,-3.135632,ld,moss,5
187,2016,1,-4.317637,ld,moss,5
187,2016,1.5,-5.676367,ld,moss,5
187,2016,2,-6.637184,ld,moss,5
187,2016,2.5,-7.062834,ld,moss,5
187,2016,3,-7.076646,ld,moss,5
187,2016,3.5,-6.611367,ld,moss,5
187,2016,4,-5.234757,ld,moss,5
187,2016,4.5,-2.965804,ld,moss,5
187,2016,5,-1.402447,ld,moss,5
187,2016,5.5,1.071917,ld,moss,5
187,2016,6,1.226887,ld,moss,5
187,2016,6.5,1.064732,ld,moss,5
187,2016,7,8.423803,ld,moss,5
187,2016,7.5,18.54947,ld,moss,5
187,2016,8,19.25913,ld,moss,5
187,2016,8.5,17.35383,ld,moss,5
187,2016,9,20.0828,ld,moss,5
187,2016,9.5,24.52524,ld,moss,5
187,2016,10,25.22386,ld,moss,5
187,2016,10.5,21.08459,ld,moss,5
187,2016,11,18.54171,ld,moss,5
187,2016,11.5,25.52619,ld,moss,5
187,2016,12,31.30121,ld,moss,5
187,2016,12.5,33.43929,ld,moss,5
187,2016,13,33.28784,ld,moss,5
187,2016,13.5,28.53447,ld,moss,5
187,2016,14,28.79055,ld,moss,5
187,2016,14.5,31.77565,ld,moss,5
187,2016,15,30.50906,ld,moss,5
187,2016,15.5,31.6416,ld,moss,5
187,2016,16,33.18738,ld,moss,5
187,2016,16.5,34.24855,ld,moss,5
187,2016,17,30.92948,ld,moss,5
187,2016,17.5,26.18716,ld,moss,5
187,2016,18,21.21558,ld,moss,5
