doy,year,hour,SRUp,SRDn,IRUp,IRDn,site,loc,sensorZ
181,2016,19.5,75.02,5.636,352,380.1,hd,understory,100
181,2016,20,36.36,2.233,347.2,371.5,hd,understory,100
181,2016,20.5,46.91,3.35,343,366.3,hd,understory,100
181,2016,21,22.5,1.514,339.8,360.5,hd,understory,100
181,2016,21.5,11.76,0.538,334.7,352,hd,understory,100
181,2016,22,11.39,0.308,331,344.7,hd,understory,100
181,2016,22.5,17.83,1.82,337.9,347.5,hd,understory,100
181,2016,23,9.99,1.075,338.8,347.5,hd,understory,100
181,2016,23.5,9.43,0.948,340.1,346.1,hd,understory,100
182,2016,0,7.818,0.94,342.8,347.7,hd,understory,100
182,2016,0.5,4.148,0.379,342.4,346.7,hd,understory,100
182,2016,1,2.552,0.144,343.3,345.7,hd,understory,100
182,2016,1.5,2.544,0.159,343.3,345.6,hd,understory,100
182,2016,2,3.06,0.163,342.4,344.7,hd,understory,100
182,2016,2.5,6.358,0.568,342.9,344.9,hd,understory,100
182,2016,3,8.83,0.804,343,345.6,hd,understory,100
182,2016,3.5,13.36,1.237,343.3,346,hd,understory,100
182,2016,4,14.55,1.43,344.8,347.3,hd,understory,100
182,2016,4.5,16.68,1.495,345,347.7,hd,understory,100
182,2016,5,28.22,2.582,345.4,349.8,hd,understory,100
182,2016,5.5,35.98,3.177,346.2,351.7,hd,understory,100
182,2016,6,34.34,2.826,346.2,351.7,hd,understory,100
182,2016,6.5,38.93,2.987,345.2,351.4,hd,understory,100
182,2016,7,34.53,2.556,345,350.9,hd,understory,100
182,2016,7.5,59.85,4.999,344.6,353.3,hd,understory,100
182,2016,8,88.8,7.768,347.2,359.1,hd,understory,100
182,2016,8.5,80.4,6.641,348,358.9,hd,understory,100
182,2016,9,102.3,8.71,350,363.6,hd,understory,100
182,2016,9.5,97.2,8.02,349.8,363.1,hd,understory,100
182,2016,10,129.6,11.3,352.2,369,hd,understory,100
182,2016,10.5,156.3,13.36,354.2,374.1,hd,understory,100
182,2016,11,176.5,15.15,356.4,378.4,hd,understory,100
182,2016,11.5,228.5,19.38,358.1,386.9,hd,understory,100
182,2016,12,172.9,18.26,352.8,388.1,hd,understory,100
182,2016,12.5,303.2,26.1,354.6,400.5,hd,understory,100
182,2016,13,509.3,28.25,355.8,412.2,hd,understory,100
182,2016,13.5,339.9,31.11,358.7,416.6,hd,understory,100
182,2016,14,215.6,23.97,362.1,408.2,hd,understory,100
182,2016,14.5,138.5,19.26,361.2,402.9,hd,understory,100
182,2016,15,188.7,16.82,362.3,400.7,hd,understory,100
182,2016,15.5,131,12.94,363,397,hd,understory,100
182,2016,16,59.71,11.5,362.4,395.5,hd,understory,100
182,2016,16.5,113.6,10.56,374.4,397.1,hd,understory,100
182,2016,17,113.5,10.8,377,398.6,hd,understory,100
182,2016,17.5,230.2,11.81,374.3,399.7,hd,understory,100
182,2016,18,139.4,6.567,365.5,392.4,hd,understory,100
182,2016,18.5,79.56,6.355,365.5,390.4,hd,understory,100
182,2016,19,36.93,7.568,364.2,389.7,hd,understory,100
