doy,year,hour,SRUp,SRDn,IRUp,IRDn,site,loc,sensorZ
182,2016,18.5,328.9,47.43,293.3,392.8,ld,canopy,800
182,2016,19,304.2,44.46,293.5,391.6,ld,canopy,800
182,2016,19.5,263.3,39.49,295.6,388.9,ld,canopy,800
182,2016,20,201.7,30.14,302.2,387.3,ld,canopy,800
182,2016,20.5,170.9,27.84,289,380.1,ld,canopy,800
182,2016,21,141.3,23.33,288,377.3,ld,canopy,800
182,2016,21.5,110.3,18.32,286.3,373.4,ld,canopy,800
182,2016,22,83.5,14.27,284.7,369.5,ld,canopy,800
182,2016,22.5,62.91,9.71,283.5,365.3,ld,canopy,800
182,2016,23,46.96,5.872,281.7,359.8,ld,canopy,800
182,2016,23.5,36.6,4.322,281.2,357.7,ld,canopy,800
183,2016,0,30.36,3.65,279.7,355.4,ld,canopy,800
183,2016,0.5,28.12,3.536,278.9,354.9,ld,canopy,800
183,2016,1,29.64,3.31,278.5,355.4,ld,canopy,800
183,2016,1.5,35.25,3.678,279,355.8,ld,canopy,800
183,2016,2,44.56,4.001,279.3,356.2,ld,canopy,800
183,2016,2.5,58.44,5.158,279.3,356,ld,canopy,800
183,2016,3,76.95,7.241,279.4,356.8,ld,canopy,800
183,2016,3.5,101.4,10,279.5,358.2,ld,canopy,800
183,2016,4,118.9,15.84,279.8,359.9,ld,canopy,800
183,2016,4.5,160.8,20.95,280.2,362.3,ld,canopy,800
183,2016,5,205.1,24.55,281.5,366,ld,canopy,800
183,2016,5.5,248.4,29.95,282.6,370.6,ld,canopy,800
183,2016,6,295,35.92,284.1,375.2,ld,canopy,800
183,2016,6.5,343.3,42.51,285.5,380.6,ld,canopy,800
183,2016,7,392,48.67,286.8,385.4,ld,canopy,800
183,2016,7.5,440.1,54.61,289.4,392,ld,canopy,800
183,2016,8,485.2,60,293.7,397.9,ld,canopy,800
183,2016,8.5,527.4,64.69,298.8,406.3,ld,canopy,800
183,2016,9,555.5,67.92,302.5,412.9,ld,canopy,800
183,2016,9.5,613.4,75.53,307.1,420.8,ld,canopy,800
183,2016,10,678.8,84.3,319.3,428.8,ld,canopy,800
183,2016,10.5,810,102.3,350.9,445.6,ld,canopy,800
183,2016,11,673.8,85.2,371.1,448,ld,canopy,800
183,2016,11.5,349.3,42.65,374.2,435,ld,canopy,800
183,2016,12,427,52.76,373.1,437.5,ld,canopy,800
183,2016,12.5,272.4,31.85,370.6,416.2,ld,canopy,800
183,2016,13,147.1,16.51,358.7,390.9,ld,canopy,800
183,2016,13.5,200.2,24.39,355.7,378.7,ld,canopy,800
183,2016,14,211.7,26.06,354.2,378,ld,canopy,800
183,2016,14.5,192.6,23.24,349.9,377,ld,canopy,800
183,2016,15,345.8,42.39,349.4,386.5,ld,canopy,800
183,2016,15.5,200.8,23.85,355.9,380.6,ld,canopy,800
183,2016,16,161.4,19.35,354,373.5,ld,canopy,800
183,2016,16.5,92.6,11.52,354,363.8,ld,canopy,800
183,2016,17,132.1,16.51,353.5,363.7,ld,canopy,800
183,2016,17.5,72.16,8.96,352.3,360.9,ld,canopy,800
183,2016,18,67.13,8.52,350.1,360.4,ld,canopy,800
183,2016,18.5,46.29,6.251,348.9,358.7,ld,canopy,800
183,2016,19,36.64,4.892,350.3,357.4,ld,canopy,800
183,2016,19.5,98.2,12.72,354,360.5,ld,canopy,800
183,2016,20,78.48,10.51,357.2,362.2,ld,canopy,800
183,2016,20.5,41.58,5.969,357,360.4,ld,canopy,800
183,2016,21,69.79,10.64,356.8,360.9,ld,canopy,800
183,2016,21.5,64.05,11.94,356.9,361.9,ld,canopy,800
183,2016,22,43.11,8.25,343.1,355.6,ld,canopy,800
183,2016,22.5,27.86,4.362,343,350.4,ld,canopy,800
183,2016,23,20.54,3.414,329.9,342.6,ld,canopy,800
183,2016,23.5,14.32,2.345,313.7,336.5,ld,canopy,800
184,2016,0,17.96,3.187,323,344.2,ld,canopy,800
184,2016,0.5,32.09,4.916,302.9,343.7,ld,canopy,800
184,2016,1,30.99,3.156,278.9,337.9,ld,canopy,800
184,2016,1.5,35.18,2.708,266.8,328.4,ld,canopy,800
184,2016,2,54.73,4.999,271.8,327,ld,canopy,800
184,2016,2.5,79.85,7.673,273.2,332.5,ld,canopy,800
184,2016,3,100.9,11.03,273.8,339.4,ld,canopy,800
184,2016,3.5,81.9,9.25,275.8,343.6,ld,canopy,800
184,2016,4,89.1,12.82,269.2,344,ld,canopy,800
184,2016,4.5,170.6,21.55,272,349.9,ld,canopy,800
184,2016,5,234.7,27.94,282.3,357.6,ld,canopy,800
184,2016,5.5,247.1,28.72,275.3,359.5,ld,canopy,800
184,2016,6,296.5,34.5,277.3,362.7,ld,canopy,800
184,2016,6.5,328.5,38.55,277.5,366,ld,canopy,800
184,2016,7,378.3,45.23,278,371.1,ld,canopy,800
184,2016,7.5,367.4,43.05,282.2,375,ld,canopy,800
184,2016,8,410.1,48.26,293.4,380.1,ld,canopy,800
184,2016,8.5,488,57.76,287.8,386.3,ld,canopy,800
184,2016,9,557.4,66.32,287,392,ld,canopy,800
184,2016,9.5,605.2,72.92,289.1,397.2,ld,canopy,800
184,2016,10,610,75.97,323,402.6,ld,canopy,800
184,2016,10.5,369.4,46.04,349,399.6,ld,canopy,800
184,2016,11,282.5,35.24,342.2,391.8,ld,canopy,800
184,2016,11.5,405.6,49.28,322.8,399.6,ld,canopy,800
