doy,year,hour,SRUp,SRDn,IRUp,IRDn,site,loc,sensorZ
182,2016,18.5,259.3,63.21,293.3,400.1,ld,understory,100
182,2016,19,240.4,56.71,293.6,397.8,ld,understory,100
182,2016,19.5,203.3,46.72,295,392,ld,understory,100
182,2016,20,108.8,34.13,300.8,388.8,ld,understory,100
182,2016,20.5,65.08,22.8,287.6,377.6,ld,understory,100
182,2016,21,29.82,14.91,286.3,371.1,ld,understory,100
182,2016,21.5,48.34,17.99,284.5,367.7,ld,understory,100
182,2016,22,55.1,18.2,283.2,365.4,ld,understory,100
182,2016,22.5,20.86,5.988,281.9,358.9,ld,understory,100
182,2016,23,13.57,3.824,280.1,353.2,ld,understory,100
182,2016,23.5,7.663,2.623,279.6,351.1,ld,understory,100
183,2016,0,6.729,2.405,278,349,ld,understory,100
183,2016,0.5,6.899,2.823,277.3,348.6,ld,understory,100
183,2016,1,5.958,2.513,276.8,349.2,ld,understory,100
183,2016,1.5,7.088,2.761,277.4,349.9,ld,understory,100
183,2016,2,8.72,2.86,277.8,350.9,ld,understory,100
183,2016,2.5,11.77,3.373,277.8,350.5,ld,understory,100
183,2016,3,19,4.403,277.9,351.3,ld,understory,100
183,2016,3.5,16.62,6.478,278,353,ld,understory,100
183,2016,4,45.73,11.11,278.2,354.9,ld,understory,100
183,2016,4.5,65.97,16.38,278.7,359,ld,understory,100
183,2016,5,76.72,30.33,280.2,363.8,ld,understory,100
183,2016,5.5,144.2,47.81,281.4,372.7,ld,understory,100
183,2016,6,169.1,56.69,283.1,379.4,ld,understory,100
183,2016,6.5,199.3,60.92,284.5,385.2,ld,understory,100
183,2016,7,177.8,50.36,285.6,387.6,ld,understory,100
183,2016,7.5,275.3,61.73,289,393.7,ld,understory,100
183,2016,8,343.8,78.52,293.9,404.2,ld,understory,100
183,2016,8.5,329.9,73.28,299.1,410.5,ld,understory,100
183,2016,9,172.9,52.52,300.9,409.2,ld,understory,100
183,2016,9.5,207.2,59.55,306.1,414,ld,understory,100
183,2016,10,363.8,75.4,319.6,424.9,ld,understory,100
183,2016,10.5,588.6,130.5,354,457,ld,understory,100
183,2016,11,484,111.7,374.2,460.9,ld,understory,100
183,2016,11.5,226.3,50.41,374.8,440.3,ld,understory,100
183,2016,12,250,62.69,373.3,441.2,ld,understory,100
183,2016,12.5,179.2,37.86,370.8,420.5,ld,understory,100
183,2016,13,97.3,19.76,358.9,393,ld,understory,100
183,2016,13.5,132.3,30.41,358,380.7,ld,understory,100
183,2016,14,141.1,34.01,356.5,379.7,ld,understory,100
183,2016,14.5,128.8,30.23,351.8,378.7,ld,understory,100
183,2016,15,239.4,56.64,350.9,390.6,ld,understory,100
183,2016,15.5,135.2,29.88,356.6,383.5,ld,understory,100
183,2016,16,108.1,24.5,355.2,375.8,ld,understory,100
183,2016,16.5,61.27,13.76,356.1,364.8,ld,understory,100
183,2016,17,86.8,20.89,356.1,364.6,ld,understory,100
183,2016,17.5,46.67,11.04,354.1,361.4,ld,understory,100
183,2016,18,44.34,10.98,352.2,360.6,ld,understory,100
183,2016,18.5,29.96,7.483,350.6,358.8,ld,understory,100
183,2016,19,24.34,5.675,352.2,357.8,ld,understory,100
183,2016,19.5,67.32,16.55,350.4,361.2,ld,understory,100
183,2016,20,52.5,13.08,351.6,363.2,ld,understory,100
183,2016,20.5,27.03,6.841,351.9,361,ld,understory,100
183,2016,21,45.85,13.04,349.3,361.3,ld,understory,100
183,2016,21.5,45.56,15.28,346,362.2,ld,understory,100
183,2016,22,29.7,9.49,314,355.2,ld,understory,100
183,2016,22.5,17.77,4.768,322,348.5,ld,understory,100
183,2016,23,12.19,3.129,291.6,338.8,ld,understory,100
183,2016,23.5,8.11,2.185,300.3,331.7,ld,understory,100
184,2016,0,9.98,4.582,320,339.5,ld,understory,100
184,2016,0.5,11.13,4.954,302.5,339,ld,understory,100
184,2016,1,7.666,2.435,284.1,330.9,ld,understory,100
184,2016,1.5,8.04,0.622,272.4,320.9,ld,understory,100
184,2016,2,15.57,2.428,275.6,320.1,ld,understory,100
184,2016,2.5,25.32,7.428,277.7,325.1,ld,understory,100
184,2016,3,32.93,9.93,278.6,333.3,ld,understory,100
184,2016,3.5,31.43,10.15,280.3,338.7,ld,understory,100
184,2016,4,51.76,11.01,274.2,338.8,ld,understory,100
184,2016,4.5,92.1,17.39,277.2,345.8,ld,understory,100
184,2016,5,125.9,33.72,287.2,356.9,ld,understory,100
184,2016,5.5,124.9,43.26,279.2,363.1,ld,understory,100
184,2016,6,170,54,280.7,367.7,ld,understory,100
184,2016,6.5,176.6,54.59,279.5,371.2,ld,understory,100
184,2016,7,159.1,48.33,278.8,374,ld,understory,100
184,2016,7.5,211,46.01,282.1,375.6,ld,understory,100
184,2016,8,271.7,59.84,293.2,383.4,ld,understory,100
184,2016,8.5,306.1,62.8,287.3,387.6,ld,understory,100
184,2016,9,191.3,51.77,284.4,387.7,ld,understory,100
184,2016,9.5,220,57.55,287.5,390.2,ld,understory,100
184,2016,10,338.4,77.33,322.9,400.9,ld,understory,100
184,2016,10.5,238.6,54.65,349.3,403.5,ld,understory,100
184,2016,11,191.9,43.54,342.1,393.2,ld,understory,100
184,2016,11.5,240.9,57.81,321.9,401.3,ld,understory,100
184,2016,12,262.9,77.45,320.2,405.7,ld,understory,100
184,2016,12.5,295.2,83.1,326.1,407.5,ld,understory,100
184,2016,13,355.5,81,329.4,401.8,ld,understory,100
184,2016,13.5,477.2,110.1,293.9,405.1,ld,understory,100
184,2016,14,542.2,128.6,287.1,412.6,ld,understory,100
184,2016,14.5,525.9,125.1,286.2,408.2,ld,understory,100
184,2016,15,505,119.2,288.2,404.5,ld,understory,100
184,2016,15.5,426.2,94.8,290,396.8,ld,understory,100
184,2016,16,412.5,91.9,283.2,394.6,ld,understory,100
184,2016,16.5,230.8,65.83,282.8,387.4,ld,understory,100
184,2016,17,291.6,62.85,296.1,386.5,ld,understory,100
184,2016,17.5,296,67.46,307.8,387.1,ld,understory,100
184,2016,18,319.6,71.47,284.7,381.6,ld,understory,100
184,2016,18.5,288.5,68.5,275,376.4,ld,understory,100
184,2016,19,192.8,44.85,285.1,368.3,ld,understory,100
184,2016,19.5,159,36.42,278.3,363.9,ld,understory,100
184,2016,20,94.5,36.96,270.5,362,ld,understory,100
184,2016,20.5,51.44,14.1,279,354.1,ld,understory,100
184,2016,21,43.89,11.7,294.4,352.7,ld,understory,100
184,2016,21.5,24.15,6.025,322,350.9,ld,understory,100
184,2016,22,18.7,4.564,329.6,350.9,ld,understory,100
184,2016,22.5,11.51,2.819,334.3,349.7,ld,understory,100
184,2016,23,11.29,3.058,331.6,347.2,ld,understory,100
184,2016,23.5,8.98,2.293,296.3,341.5,ld,understory,100
185,2016,0,4.735,0.57,274,329.6,ld,understory,100
185,2016,0.5,3.485,-0.489,309.3,329,ld,understory,100
185,2016,1,4.048,0.875,309.6,334.5,ld,understory,100
185,2016,1.5,4.333,0.856,299.9,332.8,ld,understory,100
185,2016,2,4.068,0.265,332,335.7,ld,understory,100
185,2016,2.5,7.268,0.941,323,335,ld,understory,100
185,2016,3,12.34,2.816,325.3,334.7,ld,understory,100
185,2016,3.5,23.65,5.786,317.1,335,ld,understory,100
185,2016,4,35.61,8.33,311.6,335.5,ld,understory,100
185,2016,4.5,46.73,10.52,315.1,335.6,ld,understory,100
185,2016,5,59.58,13.63,312.1,336.7,ld,understory,100
185,2016,5.5,84,20.01,303.2,336.7,ld,understory,100
185,2016,6,81.3,18.48,313.4,338.9,ld,understory,100
185,2016,6.5,90.1,21.44,321.7,340.7,ld,understory,100
185,2016,7,105.1,25.29,321.5,342.2,ld,understory,100
185,2016,7.5,133.7,32.79,321.2,345.4,ld,understory,100
185,2016,8,148.4,35.31,312.3,346.7,ld,understory,100
185,2016,8.5,263.6,60.35,279.4,352.8,ld,understory,100
185,2016,9,285.8,78.56,299.6,365.9,ld,understory,100
185,2016,9.5,268.5,64.28,309.4,366.1,ld,understory,100
185,2016,10,314.8,76.71,309.9,369.2,ld,understory,100
185,2016,10.5,418.6,94.6,294.3,374.6,ld,understory,100
