doy,year,hour,shf,site,loc,sensorZ
182,2016,18.5,-0.2541484,ld,organic,5
182,2016,19,-0.2792861,ld,organic,5
182,2016,19.5,-18.74077,ld,organic,5
182,2016,20,-16.18701,ld,organic,5
182,2016,20.5,-13.23799,ld,organic,5
182,2016,21,-10.73514,ld,organic,5
182,2016,21.5,-9.347519,ld,organic,5
182,2016,22,-8.060374,ld,organic,5
182,2016,22.5,-6.846988,ld,organic,5
182,2016,23,-5.474527,ld,organic,5
182,2016,23.5,-4.270217,ld,organic,5
183,2016,0,-3.511326,ld,organic,5
183,2016,0.5,-3.010746,ld,organic,5
183,2016,1,-2.804703,ld,organic,5
183,2016,1.5,-2.803626,ld,organic,5
183,2016,2,-2.935157,ld,organic,5
183,2016,2.5,-3.112088,ld,organic,5
183,2016,3,-3.26951,ld,organic,5
183,2016,3.5,-3.493473,ld,organic,5
183,2016,4,-3.857833,ld,organic,5
183,2016,4.5,-4.341444,ld,organic,5
183,2016,5,-5.028937,ld,organic,5
183,2016,5.5,-6.216807,ld,organic,5
183,2016,6,-7.62791,ld,organic,5
183,2016,6.5,-9.298368,ld,organic,5
183,2016,7,-11.27414,ld,organic,5
183,2016,7.5,-12.89091,ld,organic,5
183,2016,8,-13.10325,ld,organic,5
183,2016,8.5,-15.29539,ld,organic,5
183,2016,9,-17.78301,ld,organic,5
183,2016,9.5,-19.38831,ld,organic,5
183,2016,10,-20.76866,ld,organic,5
183,2016,10.5,-23.41924,ld,organic,5
183,2016,11,-24.212,ld,organic,5
183,2016,11.5,-23.91314,ld,organic,5
183,2016,12,-22.88004,ld,organic,5
183,2016,12.5,-21.89804,ld,organic,5
183,2016,13,-18.2225,ld,organic,5
183,2016,13.5,-16.0397,ld,organic,5
183,2016,14,-15.13564,ld,organic,5
183,2016,14.5,-14.37987,ld,organic,5
183,2016,15,-14.7978,ld,organic,5
183,2016,15.5,-15.66046,ld,organic,5
183,2016,16,-14.06256,ld,organic,5
183,2016,16.5,-12.24295,ld,organic,5
183,2016,17,-11.07474,ld,organic,5
183,2016,17.5,-10.54365,ld,organic,5
183,2016,18,-9.484624,ld,organic,5
183,2016,18.5,-8.766336,ld,organic,5
183,2016,19,-8.040145,ld,organic,5
183,2016,19.5,-8.059142,ld,organic,5
183,2016,20,-8.895685,ld,organic,5
183,2016,20.5,-9.043053,ld,organic,5
183,2016,21,-8.711353,ld,organic,5
183,2016,21.5,-8.717334,ld,organic,5
183,2016,22,-8.447179,ld,organic,5
183,2016,22.5,-7.079954,ld,organic,5
183,2016,23,-5.642479,ld,organic,5
183,2016,23.5,-3.878281,ld,organic,5
184,2016,0,-2.829,ld,organic,5
184,2016,0.5,-2.681201,ld,organic,5
184,2016,1,-2.250599,ld,organic,5
184,2016,1.5,-1.112529,ld,organic,5
184,2016,2,0.1820273,ld,organic,5
184,2016,2.5,0.7890993,ld,organic,5
184,2016,3,0.5874885,ld,organic,5
184,2016,3.5,-0.2213681,ld,organic,5
184,2016,4,-0.980117,ld,organic,5
184,2016,4.5,-1.476038,ld,organic,5
184,2016,5,-2.559649,ld,organic,5
184,2016,5.5,-4.412976,ld,organic,5
184,2016,6,-5.854096,ld,organic,5
184,2016,6.5,-7.287064,ld,organic,5
184,2016,7,-9.065442,ld,organic,5
184,2016,7.5,-10.7068,ld,organic,5
184,2016,8,-11.15693,ld,organic,5
184,2016,8.5,-12.15174,ld,organic,5
184,2016,9,-14.22155,ld,organic,5
184,2016,9.5,-15.76406,ld,organic,5
184,2016,10,-16.91683,ld,organic,5
184,2016,10.5,-18.44632,ld,organic,5
184,2016,11,-17.62915,ld,organic,5
184,2016,11.5,-16.08269,ld,organic,5
184,2016,12,-16.01089,ld,organic,5
184,2016,12.5,-18.95217,ld,organic,5
184,2016,13,-20.50613,ld,organic,5
184,2016,13.5,-19.58174,ld,organic,5
184,2016,14,-16.70228,ld,organic,5
184,2016,14.5,-17.8604,ld,organic,5
184,2016,15,-19.53414,ld,organic,5
184,2016,15.5,-20.37573,ld,organic,5
184,2016,16,-19.7621,ld,organic,5
184,2016,16.5,-17.42607,ld,organic,5
184,2016,17,-16.65868,ld,organic,5
