"doy","year","hour","shf","site","loc","sensorZ"
181,2016,17.5,11.38437,"hd","organic",5
181,2016,18,11.07554,"hd","organic",5
181,2016,18.5,10.85339,"hd","organic",5
181,2016,19,10.28571,"hd","organic",5
181,2016,19.5,10.03188,"hd","organic",5
181,2016,20,8.643411,"hd","organic",5
181,2016,20.5,7.326586,"hd","organic",5
181,2016,21,6.483798,"hd","organic",5
181,2016,21.5,5.370676,"hd","organic",5
181,2016,22,4.063806,"hd","organic",5
181,2016,22.5,3.41025,"hd","organic",5
181,2016,23,3.685776,"hd","organic",5
181,2016,23.5,3.678168,"hd","organic",5
182,2016,0,3.785958,"hd","organic",5
182,2016,0.5,4.045352,"hd","organic",5
182,2016,1,3.979684,"hd","organic",5
182,2016,1.5,4.02541,"hd","organic",5
182,2016,2,4.055698,"hd","organic",5
182,2016,2.5,4.057678,"hd","organic",5
182,2016,3,4.249209,"hd","organic",5
182,2016,3.5,4.386476,"hd","organic",5
182,2016,4,4.721216,"hd","organic",5
182,2016,4.5,4.970368,"hd","organic",5
182,2016,5,5.27037,"hd","organic",5
182,2016,5.5,5.801555,"hd","organic",5
182,2016,6,6.196265,"hd","organic",5
182,2016,6.5,6.283401,"hd","organic",5
182,2016,7,6.255745,"hd","organic",5
182,2016,7.5,6.27941,"hd","organic",5
182,2016,8,7.23959,"hd","organic",5
182,2016,8.5,7.905736,"hd","organic",5
182,2016,9,8.553983,"hd","organic",5
182,2016,9.5,8.98012,"hd","organic",5
182,2016,10,9.473208,"hd","organic",5
182,2016,10.5,10.66388,"hd","organic",5
182,2016,11,11.64067,"hd","organic",5
182,2016,11.5,12.92498,"hd","organic",5
182,2016,12,14.30439,"hd","organic",5
182,2016,12.5,17.88506,"hd","organic",5
182,2016,13,23.23717,"hd","organic",5
182,2016,13.5,27.2453,"hd","organic",5
182,2016,14,21.27288,"hd","organic",5
182,2016,14.5,17.11152,"hd","organic",5
182,2016,15,15.28694,"hd","organic",5
182,2016,15.5,14.85192,"hd","organic",5
182,2016,16,12.68727,"hd","organic",5
182,2016,16.5,12.21315,"hd","organic",5
182,2016,17,13.22261,"hd","organic",5
182,2016,17.5,13.53661,"hd","organic",5
182,2016,18,12.67829,"hd","organic",5
182,2016,18.5,11.41863,"hd","organic",5
182,2016,19,10.56409,"hd","organic",5
182,2016,19.5,10.57375,"hd","organic",5
182,2016,20,10.066,"hd","organic",5
182,2016,20.5,10.02238,"hd","organic",5
182,2016,21,9.159344,"hd","organic",5
182,2016,21.5,8.428893,"hd","organic",5
182,2016,22,7.716218,"hd","organic",5
182,2016,22.5,7.029878,"hd","organic",5
182,2016,23,6.534181,"hd","organic",5
182,2016,23.5,5.985222,"hd","organic",5
183,2016,0,5.623968,"hd","organic",5
183,2016,0.5,5.32713,"hd","organic",5
183,2016,1,5.2313,"hd","organic",5
183,2016,1.5,5.338106,"hd","organic",5
183,2016,2,5.490356,"hd","organic",5
183,2016,2.5,5.60375,"hd","organic",5
183,2016,3,5.745859,"hd","organic",5
183,2016,3.5,5.916654,"hd","organic",5
183,2016,4,6.162624,"hd","organic",5
183,2016,4.5,6.463153,"hd","organic",5
183,2016,5,6.879431,"hd","organic",5
183,2016,5.5,7.537691,"hd","organic",5
183,2016,6,8.671736,"hd","organic",5
183,2016,6.5,9.963551,"hd","organic",5
183,2016,7,10.61551,"hd","organic",5
183,2016,7.5,11.45142,"hd","organic",5
183,2016,8,12.51764,"hd","organic",5
183,2016,8.5,13.29433,"hd","organic",5
183,2016,9,14.19761,"hd","organic",5
183,2016,9.5,15.85555,"hd","organic",5
183,2016,10,17.01778,"hd","organic",5
183,2016,10.5,21.16608,"hd","organic",5
183,2016,11,22.44481,"hd","organic",5
183,2016,11.5,20.94074,"hd","organic",5
183,2016,12,22.12092,"hd","organic",5
183,2016,12.5,20.25288,"hd","organic",5
183,2016,13,15.47314,"hd","organic",5
183,2016,13.5,13.03086,"hd","organic",5
183,2016,14,12.32227,"hd","organic",5
183,2016,14.5,11.65741,"hd","organic",5
183,2016,15,11.91856,"hd","organic",5
183,2016,15.5,12.26656,"hd","organic",5
183,2016,16,10.94785,"hd","organic",5
183,2016,16.5,9.627085,"hd","organic",5
183,2016,17,9.071612,"hd","organic",5
183,2016,17.5,8.496364,"hd","organic",5
183,2016,18,7.900144,"hd","organic",5
183,2016,18.5,7.504102,"hd","organic",5
183,2016,19,7.156123,"hd","organic",5
183,2016,19.5,7.541973,"hd","organic",5
183,2016,20,8.570948,"hd","organic",5
183,2016,20.5,8.421286,"hd","organic",5
183,2016,21,8.330997,"hd","organic",5
183,2016,21.5,8.566978,"hd","organic",5
183,2016,22,7.575778,"hd","organic",5
183,2016,22.5,6.091221,"hd","organic",5
183,2016,23,5.101365,"hd","organic",5
183,2016,23.5,3.809881,"hd","organic",5
184,2016,0,3.306108,"hd","organic",5
184,2016,0.5,3.03366,"hd","organic",5
184,2016,1,2.181715,"hd","organic",5
184,2016,1.5,1.120115,"hd","organic",5
184,2016,2,0.3467486,"hd","organic",5
184,2016,2.5,0.5570014,"hd","organic",5
184,2016,3,1.474385,"hd","organic",5
184,2016,3.5,2.890918,"hd","organic",5
184,2016,4,3.810102,"hd","organic",5
184,2016,4.5,4.403775,"hd","organic",5
184,2016,5,5.459657,"hd","organic",5
184,2016,5.5,6.589399,"hd","organic",5
184,2016,6,7.497287,"hd","organic",5
184,2016,6.5,8.63597,"hd","organic",5
184,2016,7,9.304187,"hd","organic",5
184,2016,7.5,10.21388,"hd","organic",5
184,2016,8,10.98361,"hd","organic",5
184,2016,8.5,11.99879,"hd","organic",5
184,2016,9,12.64848,"hd","organic",5
184,2016,9.5,13.7323,"hd","organic",5
184,2016,10,15.02252,"hd","organic",5
184,2016,10.5,15.9982,"hd","organic",5
184,2016,11,15.64224,"hd","organic",5
184,2016,11.5,17.5762,"hd","organic",5
184,2016,12,18.86159,"hd","organic",5
184,2016,12.5,24.80474,"hd","organic",5
184,2016,13,21.4453,"hd","organic",5
184,2016,13.5,22.87365,"hd","organic",5
184,2016,14,19.20583,"hd","organic",5
184,2016,14.5,15.66887,"hd","organic",5
184,2016,15,14.28575,"hd","organic",5
184,2016,15.5,13.09052,"hd","organic",5
184,2016,16,11.16048,"hd","organic",5
184,2016,16.5,9.760698,"hd","organic",5
184,2016,17,10.4473,"hd","organic",5
184,2016,17.5,10.08153,"hd","organic",5
184,2016,18,9.353923,"hd","organic",5
184,2016,18.5,8.248836,"hd","organic",5
184,2016,19,7.416891,"hd","organic",5
184,2016,19.5,7.072739,"hd","organic",5
184,2016,20,6.657009,"hd","organic",5
184,2016,20.5,5.990228,"hd","organic",5
184,2016,21,5.615652,"hd","organic",5
184,2016,21.5,5.155934,"hd","organic",5
184,2016,22,5.146128,"hd","organic",5
184,2016,22.5,4.992635,"hd","organic",5
184,2016,23,4.848761,"hd","organic",5
184,2016,23.5,4.32385,"hd","organic",5
185,2016,0,2.936959,"hd","organic",5
185,2016,0.5,2.118122,"hd","organic",5
185,2016,1,2.323647,"hd","organic",5
185,2016,1.5,2.269953,"hd","organic",5
185,2016,2,1.927662,"hd","organic",5
185,2016,2.5,2.076989,"hd","organic",5
185,2016,3,2.305056,"hd","organic",5
185,2016,3.5,2.499187,"hd","organic",5
185,2016,4,2.357759,"hd","organic",5
185,2016,4.5,2.434562,"hd","organic",5
185,2016,5,2.485413,"hd","organic",5
185,2016,5.5,3.338081,"hd","organic",5
185,2016,6,3.673972,"hd","organic",5
185,2016,6.5,3.914614,"hd","organic",5
185,2016,7,4.200112,"hd","organic",5
185,2016,7.5,4.610958,"hd","organic",5
185,2016,8,5.822515,"hd","organic",5
185,2016,8.5,7.542507,"hd","organic",5
185,2016,9,8.415635,"hd","organic",5
185,2016,9.5,8.972591,"hd","organic",5
185,2016,10,9.7812,"hd","organic",5
185,2016,10.5,10.10386,"hd","organic",5
185,2016,11,11.59291,"hd","organic",5
185,2016,11.5,14.07906,"hd","organic",5
185,2016,12,13.48267,"hd","organic",5
185,2016,12.5,19.83044,"hd","organic",5
185,2016,13,22.37556,"hd","organic",5
185,2016,13.5,23.1163,"hd","organic",5
185,2016,14,17.40382,"hd","organic",5
185,2016,14.5,14.06207,"hd","organic",5
185,2016,15,12.67015,"hd","organic",5
185,2016,15.5,11.79523,"hd","organic",5
185,2016,16,9.805691,"hd","organic",5
185,2016,16.5,8.387649,"hd","organic",5
185,2016,17,7.84555,"hd","organic",5
185,2016,17.5,6.651111,"hd","organic",5
185,2016,18,5.836586,"hd","organic",5
185,2016,18.5,5.927775,"hd","organic",5
185,2016,19,5.218975,"hd","organic",5
185,2016,19.5,4.771623,"hd","organic",5
185,2016,20,3.729921,"hd","organic",5
185,2016,20.5,3.33209,"hd","organic",5
185,2016,21,3.060305,"hd","organic",5
185,2016,21.5,2.515019,"hd","organic",5
185,2016,22,2.066604,"hd","organic",5
185,2016,22.5,1.784271,"hd","organic",5
185,2016,23,1.387049,"hd","organic",5
185,2016,23.5,0.7732972,"hd","organic",5
186,2016,0,0.2508662,"hd","organic",5
186,2016,0.5,0.07675306,"hd","organic",5
186,2016,1,0.1303745,"hd","organic",5
186,2016,1.5,0.4737053,"hd","organic",5
186,2016,2,0.7317685,"hd","organic",5
186,2016,2.5,0.9798502,"hd","organic",5
186,2016,3,1.274106,"hd","organic",5
186,2016,3.5,1.634299,"hd","organic",5
186,2016,4,2.164874,"hd","organic",5
186,2016,4.5,2.588007,"hd","organic",5
186,2016,5,3.155703,"hd","organic",5
186,2016,5.5,2.48242,"hd","organic",5
186,2016,6,2.610857,"hd","organic",5
186,2016,6.5,3.562015,"hd","organic",5
186,2016,7,3.982349,"hd","organic",5
186,2016,7.5,4.724405,"hd","organic",5
186,2016,8,5.447826,"hd","organic",5
186,2016,8.5,6.351327,"hd","organic",5
186,2016,9,6.901752,"hd","organic",5
186,2016,9.5,8.163074,"hd","organic",5
186,2016,10,9.072594,"hd","organic",5
186,2016,10.5,10.49354,"hd","organic",5
186,2016,11,12.20724,"hd","organic",5
186,2016,11.5,16.05048,"hd","organic",5
186,2016,12,15.69832,"hd","organic",5
186,2016,12.5,23.54555,"hd","organic",5
186,2016,13,26.50628,"hd","organic",5
186,2016,13.5,26.93703,"hd","organic",5
186,2016,14,20.14883,"hd","organic",5
186,2016,14.5,16.36011,"hd","organic",5
186,2016,15,14.16709,"hd","organic",5
186,2016,15.5,12.65194,"hd","organic",5
186,2016,16,11.62051,"hd","organic",5
186,2016,16.5,9.317039,"hd","organic",5
186,2016,17,9.21622,"hd","organic",5
186,2016,17.5,8.793899,"hd","organic",5
186,2016,18,8.202622,"hd","organic",5
186,2016,18.5,7.573838,"hd","organic",5
186,2016,19,7.48236,"hd","organic",5
186,2016,19.5,7.918581,"hd","organic",5
186,2016,20,7.350903,"hd","organic",5
186,2016,20.5,6.794704,"hd","organic",5
186,2016,21,6.064092,"hd","organic",5
186,2016,21.5,5.170448,"hd","organic",5
186,2016,22,4.241681,"hd","organic",5
186,2016,22.5,2.914858,"hd","organic",5
186,2016,23,1.593664,"hd","organic",5
186,2016,23.5,0.6517605,"hd","organic",5
187,2016,0,-0.02270965,"hd","organic",5
187,2016,0.5,-0.5275831,"hd","organic",5
187,2016,1,-0.7684891,"hd","organic",5
187,2016,1.5,-1.139553,"hd","organic",5
187,2016,2,-1.469823,"hd","organic",5
187,2016,2.5,-1.58818,"hd","organic",5
187,2016,3,-1.44112,"hd","organic",5
187,2016,3.5,-0.8692491,"hd","organic",5
187,2016,4,0.3333092,"hd","organic",5
187,2016,4.5,1.93988,"hd","organic",5
187,2016,5,2.957334,"hd","organic",5
187,2016,5.5,3.906084,"hd","organic",5
187,2016,6,4.162264,"hd","organic",5
187,2016,6.5,4.941838,"hd","organic",5
187,2016,7,8.073495,"hd","organic",5
187,2016,7.5,11.26474,"hd","organic",5
187,2016,8,11.61864,"hd","organic",5
187,2016,8.5,11.78382,"hd","organic",5
187,2016,9,12.35195,"hd","organic",5
187,2016,9.5,13.99047,"hd","organic",5
187,2016,10,15.1489,"hd","organic",5
187,2016,10.5,16.54585,"hd","organic",5
187,2016,11,18.48414,"hd","organic",5
187,2016,11.5,22.65177,"hd","organic",5
187,2016,12,22.03939,"hd","organic",5
187,2016,12.5,29.95474,"hd","organic",5
187,2016,13,32.20137,"hd","organic",5
187,2016,13.5,33.54452,"hd","organic",5
187,2016,14,26.33931,"hd","organic",5
187,2016,14.5,22.02147,"hd","organic",5
187,2016,15,20.57609,"hd","organic",5
187,2016,15.5,19.94589,"hd","organic",5
187,2016,16,19.24149,"hd","organic",5
187,2016,16.5,18.45275,"hd","organic",5
187,2016,17,17.4053,"hd","organic",5
187,2016,17.5,16.00309,"hd","organic",5
187,2016,18,14.80625,"hd","organic",5
187,2016,18.5,14.37759,"hd","organic",5
187,2016,19,13.04842,"hd","organic",5
187,2016,19.5,13.50961,"hd","organic",5
187,2016,20,12.89127,"hd","organic",5
187,2016,20.5,12.47991,"hd","organic",5
187,2016,21,11.74053,"hd","organic",5
187,2016,21.5,11.24987,"hd","organic",5
187,2016,22,10.56342,"hd","organic",5
187,2016,22.5,9.906475,"hd","organic",5
187,2016,23,9.808646,"hd","organic",5
187,2016,23.5,9.477289,"hd","organic",5
188,2016,0,9.248723,"hd","organic",5
188,2016,0.5,9.061608,"hd","organic",5
188,2016,1,8.892923,"hd","organic",5
188,2016,1.5,8.805795,"hd","organic",5
188,2016,2,9.255402,"hd","organic",5
188,2016,2.5,9.505806,"hd","organic",5
188,2016,3,10.24617,"hd","organic",5
188,2016,3.5,10.6848,"hd","organic",5
188,2016,4,10.78846,"hd","organic",5
188,2016,4.5,11.0253,"hd","organic",5
188,2016,5,11.44293,"hd","organic",5
188,2016,5.5,12.29904,"hd","organic",5
188,2016,6,12.11919,"hd","organic",5
188,2016,6.5,12.84235,"hd","organic",5
188,2016,7,14.67856,"hd","organic",5
188,2016,7.5,15.31872,"hd","organic",5
188,2016,8,15.55465,"hd","organic",5
188,2016,8.5,16.49988,"hd","organic",5
188,2016,9,17.43125,"hd","organic",5
188,2016,9.5,17.44593,"hd","organic",5
188,2016,10,16.92893,"hd","organic",5
188,2016,10.5,16.25586,"hd","organic",5
188,2016,11,16.08896,"hd","organic",5
188,2016,11.5,14.88554,"hd","organic",5
188,2016,12,14.24857,"hd","organic",5
188,2016,12.5,14.8199,"hd","organic",5
188,2016,13,15.45674,"hd","organic",5
188,2016,13.5,15.43048,"hd","organic",5
188,2016,14,14.79042,"hd","organic",5
188,2016,14.5,13.51992,"hd","organic",5
188,2016,15,12.039,"hd","organic",5
188,2016,15.5,11.3616,"hd","organic",5
188,2016,16,10.96171,"hd","organic",5
188,2016,16.5,10.78543,"hd","organic",5
188,2016,17,11.28226,"hd","organic",5
188,2016,17.5,11.45338,"hd","organic",5
188,2016,18,11.25497,"hd","organic",5
188,2016,18.5,11.1066,"hd","organic",5
188,2016,19,10.9989,"hd","organic",5
188,2016,19.5,10.6671,"hd","organic",5
188,2016,20,9.698113,"hd","organic",5
188,2016,20.5,8.398554,"hd","organic",5
188,2016,21,7.441516,"hd","organic",5
188,2016,21.5,6.303183,"hd","organic",5
188,2016,22,5.326807,"hd","organic",5
188,2016,22.5,4.594887,"hd","organic",5
188,2016,23,3.982136,"hd","organic",5
188,2016,23.5,3.505143,"hd","organic",5
189,2016,0,3.191768,"hd","organic",5
189,2016,0.5,2.963276,"hd","organic",5
189,2016,1,2.800498,"hd","organic",5
189,2016,1.5,2.599521,"hd","organic",5
189,2016,2,2.515834,"hd","organic",5
189,2016,2.5,2.711542,"hd","organic",5
189,2016,3,2.976432,"hd","organic",5
