doy,year,hour,SRUp,SRDn,IRUp,IRDn,site,loc,sensorZ
181,2016,17.5,421.8,59.86,289.3,394.7,hd,canopy,800
181,2016,18,372.8,55.78,289.6,394.2,hd,canopy,800
181,2016,18.5,322.9,51.69,289,391.8,hd,canopy,800
181,2016,19,274.8,47.81,286,386,hd,canopy,800
181,2016,19.5,182.3,33.22,283.3,379.4,hd,canopy,800
181,2016,20,116.5,22.25,281.2,373.2,hd,canopy,800
181,2016,20.5,101.3,22.43,278.8,368,hd,canopy,800
181,2016,21,80.3,19.16,277.6,364.6,hd,canopy,800
181,2016,21.5,51.79,12.88,275.5,358.6,hd,canopy,800
181,2016,22,40.84,10.59,278.5,352.8,hd,canopy,800
181,2016,22.5,44.78,12.35,300.4,353.8,hd,canopy,800
181,2016,23,25.11,8.39,308,352.3,hd,canopy,800
181,2016,23.5,23.2,12.84,314.2,351.3,hd,canopy,800
182,2016,0,17.89,10.3,324.2,350.9,hd,canopy,800
182,2016,0.5,9.7,4.316,325.6,349.2,hd,canopy,800
182,2016,1,5.721,1.481,331,347.7,hd,canopy,800
182,2016,1.5,5.636,1.138,333,347,hd,canopy,800
182,2016,2,6.764,0.954,332.1,345.9,hd,canopy,800
182,2016,2.5,13.26,1.764,335.1,345.7,hd,canopy,800
182,2016,3,18.76,2.293,335.6,345.7,hd,canopy,800
182,2016,3.5,28.76,3.609,336.1,345.7,hd,canopy,800
182,2016,4,31.64,3.916,339.2,346.5,hd,canopy,800
182,2016,4.5,36.33,4.288,339.4,346.5,hd,canopy,800
182,2016,5,60.9,7.248,338.8,347.4,hd,canopy,800
182,2016,5.5,76.61,9.01,339.3,348.5,hd,canopy,800
182,2016,6,74.38,8.43,339.3,348.4,hd,canopy,800
182,2016,6.5,85.5,9.51,337.7,347.4,hd,canopy,800
182,2016,7,75.36,8.1,337.9,347,hd,canopy,800
182,2016,7.5,125.5,14.16,336.1,347.7,hd,canopy,800
182,2016,8,189.8,21.96,337.2,351.4,hd,canopy,800
182,2016,8.5,170.8,19.6,338.7,351.1,hd,canopy,800
182,2016,9,217.7,25.12,339.4,354,hd,canopy,800
182,2016,9.5,209.5,24.22,339.1,353.5,hd,canopy,800
182,2016,10,273.3,31.74,339.8,357.6,hd,canopy,800
182,2016,10.5,322,37.19,340.6,360.2,hd,canopy,800
182,2016,11,371.7,42.88,340.5,363.4,hd,canopy,800
182,2016,11.5,482.5,55.18,334.9,369.7,hd,canopy,800
182,2016,12,502.8,57.55,312.3,372.4,hd,canopy,800
182,2016,12.5,679,76.37,295.5,379.9,hd,canopy,800
