doy,year,hour,tempS,sensorZ,sensInfo,sensorLoc,site
179,2016,19,4.7,18,tempS.5TM,mineral,ld
179,2016,19.5,4.7,18,tempS.5TM,mineral,ld
179,2016,20,4.7,18,tempS.5TM,mineral,ld
179,2016,20.5,4.7,18,tempS.5TM,mineral,ld
179,2016,21,4.7,18,tempS.5TM,mineral,ld
179,2016,21.5,4.7,18,tempS.5TM,mineral,ld
179,2016,22,4.6,18,tempS.5TM,mineral,ld
179,2016,22.5,4.6,18,tempS.5TM,mineral,ld
179,2016,23,4.6,18,tempS.5TM,mineral,ld
179,2016,23.5,4.5,18,tempS.5TM,mineral,ld
180,2016,0,4.4,18,tempS.5TM,mineral,ld
180,2016,0.5,4.4,18,tempS.5TM,mineral,ld
180,2016,1,4.3,18,tempS.5TM,mineral,ld
180,2016,1.5,4.3,18,tempS.5TM,mineral,ld
180,2016,2,4.2,18,tempS.5TM,mineral,ld
180,2016,2.5,4.2,18,tempS.5TM,mineral,ld
180,2016,3,4.1,18,tempS.5TM,mineral,ld
180,2016,3.5,4.1,18,tempS.5TM,mineral,ld
180,2016,4,4.1,18,tempS.5TM,mineral,ld
180,2016,4.5,4,18,tempS.5TM,mineral,ld
180,2016,5,4,18,tempS.5TM,mineral,ld
180,2016,5.5,4,18,tempS.5TM,mineral,ld
180,2016,6,4,18,tempS.5TM,mineral,ld
180,2016,6.5,4,18,tempS.5TM,mineral,ld
180,2016,7,4,18,tempS.5TM,mineral,ld
180,2016,7.5,3.9,18,tempS.5TM,mineral,ld
180,2016,8,3.9,18,tempS.5TM,mineral,ld
180,2016,8.5,4,18,tempS.5TM,mineral,ld
180,2016,9,4,18,tempS.5TM,mineral,ld
180,2016,9.5,4,18,tempS.5TM,mineral,ld
180,2016,10,4,18,tempS.5TM,mineral,ld
180,2016,10.5,4,18,tempS.5TM,mineral,ld
180,2016,11,4,18,tempS.5TM,mineral,ld
180,2016,11.5,4,18,tempS.5TM,mineral,ld
180,2016,12,4,18,tempS.5TM,mineral,ld
180,2016,12.5,4,18,tempS.5TM,mineral,ld
180,2016,13,4.1,18,tempS.5TM,mineral,ld
180,2016,13.5,4.1,18,tempS.5TM,mineral,ld
180,2016,14,4.1,18,tempS.5TM,mineral,ld
180,2016,14.5,4.1,18,tempS.5TM,mineral,ld
180,2016,15,4.2,18,tempS.5TM,mineral,ld
