doy,year,hour,tempS,sensorZ,sensInfo,sensorLoc,site
179,2016,19,8,8,tempS.5TM,organic interface,ld
179,2016,19.5,8.1,8,tempS.5TM,organic interface,ld
179,2016,20,7.8,8,tempS.5TM,organic interface,ld
179,2016,20.5,7.6,8,tempS.5TM,organic interface,ld
179,2016,21,7.4,8,tempS.5TM,organic interface,ld
179,2016,21.5,7.2,8,tempS.5TM,organic interface,ld
179,2016,22,7,8,tempS.5TM,organic interface,ld
179,2016,22.5,6.8,8,tempS.5TM,organic interface,ld
179,2016,23,6.5,8,tempS.5TM,organic interface,ld
179,2016,23.5,6.2,8,tempS.5TM,organic interface,ld
180,2016,0,5.8,8,tempS.5TM,organic interface,ld
180,2016,0.5,5.6,8,tempS.5TM,organic interface,ld
180,2016,1,5.4,8,tempS.5TM,organic interface,ld
180,2016,1.5,5.2,8,tempS.5TM,organic interface,ld
180,2016,2,5,8,tempS.5TM,organic interface,ld
180,2016,2.5,4.9,8,tempS.5TM,organic interface,ld
180,2016,3,4.9,8,tempS.5TM,organic interface,ld
180,2016,3.5,5,8,tempS.5TM,organic interface,ld
180,2016,4,5.1,8,tempS.5TM,organic interface,ld
180,2016,4.5,5.1,8,tempS.5TM,organic interface,ld
180,2016,5,5.2,8,tempS.5TM,organic interface,ld
180,2016,5.5,5.2,8,tempS.5TM,organic interface,ld
180,2016,6,5.2,8,tempS.5TM,organic interface,ld
180,2016,6.5,5.2,8,tempS.5TM,organic interface,ld
180,2016,7,5.2,8,tempS.5TM,organic interface,ld
180,2016,7.5,5.2,8,tempS.5TM,organic interface,ld
180,2016,8,5.3,8,tempS.5TM,organic interface,ld
180,2016,8.5,5.5,8,tempS.5TM,organic interface,ld
180,2016,9,5.6,8,tempS.5TM,organic interface,ld
180,2016,9.5,5.7,8,tempS.5TM,organic interface,ld
180,2016,10,5.8,8,tempS.5TM,organic interface,ld
180,2016,10.5,5.9,8,tempS.5TM,organic interface,ld
180,2016,11,5.9,8,tempS.5TM,organic interface,ld
180,2016,11.5,5.9,8,tempS.5TM,organic interface,ld
180,2016,12,6,8,tempS.5TM,organic interface,ld
180,2016,12.5,6.2,8,tempS.5TM,organic interface,ld
180,2016,13,6.3,8,tempS.5TM,organic interface,ld
180,2016,13.5,6.4,8,tempS.5TM,organic interface,ld
180,2016,14,6.3,8,tempS.5TM,organic interface,ld
180,2016,14.5,6.4,8,tempS.5TM,organic interface,ld
180,2016,15,6.5,8,tempS.5TM,organic interface,ld
180,2016,15.5,6.5,8,tempS.5TM,organic interface,ld
180,2016,16,6.6,8,tempS.5TM,organic interface,ld
180,2016,16.5,6.6,8,tempS.5TM,organic interface,ld
180,2016,17,6.5,8,tempS.5TM,organic interface,ld
180,2016,17.5,6.4,8,tempS.5TM,organic interface,ld
180,2016,18,6.3,8,tempS.5TM,organic interface,ld
180,2016,18.5,6.1,8,tempS.5TM,organic interface,ld
180,2016,19,5.8,8,tempS.5TM,organic interface,ld
180,2016,19.5,5.6,8,tempS.5TM,organic interface,ld
180,2016,20,5.3,8,tempS.5TM,organic interface,ld
180,2016,20.5,5.1,8,tempS.5TM,organic interface,ld
180,2016,21,4.9,8,tempS.5TM,organic interface,ld
180,2016,21.5,4.7,8,tempS.5TM,organic interface,ld
180,2016,22,4.6,8,tempS.5TM,organic interface,ld
180,2016,22.5,4.4,8,tempS.5TM,organic interface,ld
180,2016,23,4.3,8,tempS.5TM,organic interface,ld
180,2016,23.5,4.2,8,tempS.5TM,organic interface,ld
